NAME                                          READY   STATUS    RESTARTS   AGE
analytics-service-58f499699f-7vb8q            2/2     Running   0          5m58s
audit-service-6ccc8d55b-txvxj                 2/2     Running   0          5m58s
chat-service-5dd9887747-2ddnw                 2/2     Running   0          5m58s
notification-service-7b6d8f8f98-xwr7q         2/2     Running   0          5m58s
postgresql-0                                  1/1     Running   0          3h24m
strimzi-cluster-operator-56677ffff6-x9kw8     1/1     Running   0          79m
todo-kafka-entity-operator-6b566d6947-prxx2   2/2     Running   0          55m
todo-kafka-kafka-pool-0                       1/1     Running   0          57m
todo-service-664cd776b9-j4sbt                 2/2     Running   0          2m7s
user-service-7fb6857794-4tgjf                 2/2     Running   0          5m58s
